,2012,2013,2014,2015,2016,2017
United States,"309,346,863","311,718,857","314,102,623","316,427,395","318,907,401","321,418,820"
.Alabama,"1","0","0","0","0","0"
.Alaska,"0","0","0","0","0","0"
.Arizona,"0","0","0","0","4","0"
.Arkansas,"1","0","0","0","0","0"
.California,"5","5","0","4","51","0"
.Colorado,"300","300","180","340","265","350"
.Connecticut,"0","0","1","0","0","0"
.Delaware,"0","0","1","0","0","0"
.District of Columbia,"0","0","1","0","0","0"
.Florida,"4","0","0","2","0","0"
.Georgia,"1","0","0","0","0","0"
.Hawaii,"0","0","0","0","0","0"
.Idaho,"0","0","0","0","0","0"
.Illinois,"0","0","2","0","0","0"
.Indiana,"0","0","1","0","0","0"
.Iowa,"0","0","2","0","0","0"
.Kansas,"1","0","1","0","0","0"
.Kentucky,"1","0","1","0","0","0"
.Louisiana,"1","0","0","0","0","0"
.Maine,"0","0","0","0","0","0"
.Maryland,"0","0","3","0","0","0"
.Massachusetts,"0","0","1","0","0","0"
.Michigan,"0","0","0","0","0","0"
.Minnesota,"0","0","0","0","0","0"
.Mississippi,"1","0","0","0","0","0"
.Missouri,"0","0","2","0","0","0"
.Montana,"0","0","0","0","0","0"
.Nebraska,"0","0","1","0","0","0"
.Nevada,"0","1","0","6","7","0"
.New Hampshire,"0","0","0","0","0","0"
.New Jersey,"0","0","4","0","0","0"
.New Mexico,"0","0","0","0","0","0"
.New York,"10","7","9","8","0","2"
.North Carolina,"0","0","0","0","0","0"
.North Dakota,"0","0","0","0","0","0"
.Ohio,"0","0","1","0","0","0"
.Oklahoma,"2","0","0","0","0",""
.Oregon,"0","0","0","0","0","0"
.Pennsylvania,"0","0","150","0","0","0"
.Rhode Island,"0","0","2","0","0","0"
.South Carolina,"0","0","0","0","0","0"
.South Dakota,"0","0","0","0","0","0"
.Tennessee,"1","0","0","0","0","0"
.Texas,"0","0","0","0","0","0"
.Utah,"0","1","0","3","5","0"
.Vermont,"0","0","0","0","0","0"
.Virginia,"0","0","2","0","0","0"
.Washington,"0","0","0","0","0","0"
.West Virginia,"0","0","0","0","0","0"
.Wisconsin,"0","0","0","0","0","0"
.Wyoming,"0","0","1","0","0","0"